e_value,member_count,Meff,aligned_domain_width,total_match_state_count,total_non_match_state_count,total_match_state_pct,first_match_state_column,last_match_state_column,length_covered,covered_match_state_count,covered_non_match_state_count,covered_match_state_pct,Meff*covered_match_state_pct
-10,10453,5887.6,158,140,18,88.6,4,143,140,140,0,100.0,5887.6
-20,2164,1026.6,158,154,4,97.5,1,154,154,154,0,100.0,1026.6
-3,15016,8906.9,158,139,19,88.0,4,142,139,139,0,100.0,8906.9
-30,1566,684.5,158,154,4,97.5,1,154,154,154,0,100.0,684.5
-5,14837,8712.6,158,138,20,87.3,4,141,138,138,0,100.0,8712.6
-50,1481,620.8,158,154,4,97.5,1,154,154,154,0,100.0,620.8
