e_value,member_count,Meff,aligned_domain_width,total_match_state_count,total_non_match_state_count,total_match_state_pct,first_match_state_column,last_match_state_column,length_covered,covered_match_state_count,covered_non_match_state_count,covered_match_state_pct,Meff*covered_match_state_pct
-10,5958,3085.5,285,276,9,96.8,3,283,281,276,5,98.2,3030.6
-20,5884,3033.0,285,276,9,96.8,3,283,281,276,5,98.2,2979.1
-3,47132,31650.4,285,106,179,37.2,151,257,107,106,1,99.1,31354.6
-30,5836,3001.8,285,276,9,96.8,3,283,281,276,5,98.2,2948.4
-5,37613,24073.2,285,112,173,39.3,142,254,113,112,1,99.1,23860.2
-50,5440,2735.6,285,276,9,96.8,3,283,281,276,5,98.2,2687.0
