e_value,member_count,Meff,aligned_domain_width,total_match_state_count,total_non_match_state_count,total_match_state_pct,first_match_state_column,last_match_state_column,length_covered,covered_match_state_count,covered_non_match_state_count,covered_match_state_pct,Meff*covered_match_state_pct
-10,5762,2856.8,224,205,19,91.5,18,223,206,205,1,99.5,2842.9
-20,4006,2032.5,224,204,20,91.1,17,223,207,204,3,98.6,2003.1
-3,26112,15527.3,224,109,115,48.7,73,182,110,109,1,99.1,15386.1
-30,3958,1989.2,224,204,20,91.1,16,223,208,204,4,98.1,1951.0
-5,26497,15861.5,224,110,114,49.1,73,183,111,110,1,99.1,15718.6
-50,3340,1572.0,224,206,18,92.0,15,223,209,206,3,98.6,1549.5
